,GCLSTM,GCRN,LSTM
Maximum,0.8,1.0,0.6797222222222222
Minimum,0.0,0.0,0.0
Mean,0.018197278911564627,0.15740261580822806,0.03690061119018686
Standard_Deviation,0.08990614716136495,0.2853868550106565,0.13718172730308448
First_Quartile,0.0,0.0,0.0
Median,0.0,0.0,0.0
Third_Quartile,0.0,0.2,0.0
