,GCLSTM,GCRN,LSTM
Maximum,0.0897061792678391,0.2741112791668053,0.2805479452054794
Minimum,0.0,0.0,0.0
Mean,0.0013768609834622688,0.011859954353483642,0.010869215932710513
Standard_Deviation,0.009463130340428538,0.04059259573705072,0.04460591793262744
First_Quartile,0.0,0.0,0.0
Median,0.0,0.0,0.0
Third_Quartile,0.0,0.00193513184275305,0.0
