City_name;LSTM RMSE;LSTM R2
Shijiazhuang;475.45795448642457;-285.7147777086879
Tangshan;0.01982258225601644;0.0
Qinhuangdao;0.1402301788330078;0.0
Handan;0.0768890380859375;0.0
Xingtai;7.706404063577913;-60.86319185531619
Baoding;4.632513195967465;-24.547831089157917
Zhangjiakou;0.4068808609698602;0.0
Chengde;0.16323232650756836;0.0
Cangzhou;0.19350244134781686;0.0
Langfang;0.779769516025642;0.0
Hengshui;0.02746105194091797;0.0
Taiyuan;0.5796794891357422;0.0
Datong;0.08048248291015625;0.0
Yangquan;0.0001354217529296875;0.0
Changzhi;0.18520736694335938;0.0
Jincheng;0.18582916259765625;0.0
Shuozhou;0.21987152099609375;0.0
Jinzhong;0.8030261993430855;0.0
Yuncheng;0.0015247578078705318;0.0
Xinzhou;0.14545726776123047;0.0
Linfen;0.0001220703125;0.0
Baotou;0.19336509704589844;0.0
Wuhai;0.00017342853255351436;0.0
Chifeng;0.11480331420898438;0.0
Tongliao;0.6011312809302501;-0.00377447854457702
Shenyang;8.065152740808376;0.0
Dalian;152.63570382966395;-0.6284040444100563
Anshan;0.0013764858419292993;0.0
Fushun;0.008348613349529457;0.0
Benxi;0.0010952949523925781;0.0
Dandong;0.32284069061279297;0.0
Jinzhou;0.18934154510498047;0.0
Yingkou;0.0011134987948481874;0.0
Fuxin;0.033219337463378906;0.0
Liaoyang;0.03900232957154671;0.0
Panjin;0.12725448608398438;0.0
Tieling;0.07657051086425781;0.0
Chaoyang;0.0;1.0
Huludao;0.27480030059814453;0.0
Changchun;1.316497802734375;0.0
Jilin;0.8896266129360054;-0.23661796664168944
Siping;0.7807483673095703;0.0
Liaoyuan;0.00019931793212890625;0.0
Tonghua;0.2324371337890625;0.0
Songyuan;0.015690326690673828;0.0
Baicheng;0.014297556007859766;0.0
Jixi;6.4849853515625e-05;0.0
Hegang;2.6702880859375e-05;0.0
Shuangyashan;8.392333984375e-05;0.0
Daqing;0.7026901245117188;0.0
Jiamusi;0.10206794738769531;0.0
Qitaihe;0.04273223876953125;0.0
