lag,out,node_id,metric,friedman_p_value,best_model_by_rank,significant_diff_found
7,7,48,RMSE,2.873686358243695e-07,GCLSTM,True
7,7,48,MAE,2.873686358243695e-07,GCLSTM,True
7,7,49,RMSE,0.0009118819655545164,GCLSTM,True
7,7,49,MAE,0.2691463487291838,LSTM,False
7,7,50,RMSE,0.0002454297015009894,GCLSTM,True
7,7,50,MAE,0.7788007830714049,GCRN,False
7,7,51,RMSE,0.00031513797473735615,GCLSTM,True
7,7,51,MAE,0.6456485264278919,LSTM,False
7,7,52,RMSE,0.3049827687110593,LSTM,False
7,7,52,MAE,0.1440636591014533,GCLSTM,False
7,7,53,RMSE,0.0680508540250102,LSTM,False
7,7,53,MAE,0.4723665527410149,GCRN,False
7,7,54,RMSE,0.4437473100810798,GCRN,False
7,7,54,MAE,0.6456485264278919,LSTM,False
7,7,55,RMSE,4.78511739212901e-06,GCLSTM,True
7,7,55,MAE,6.144212353328207e-06,GCRN,True
7,7,56,RMSE,4.78511739212901e-06,GCLSTM,True
7,7,56,MAE,5.771953345416447e-06,GCRN,True
7,7,57,RMSE,0.0990134083638263,GCRN,False
7,7,57,MAE,0.3049827687110593,GCRN,False
7,7,58,RMSE,0.015184197956837946,GCLSTM,True
7,7,58,MAE,0.1737739434504451,LSTM,False
7,7,59,RMSE,5.771953345416447e-06,GCRN,True
7,7,59,MAE,5.771953345416447e-06,GCLSTM,True
7,7,60,RMSE,0.018315638888734182,LSTM,True
7,7,60,MAE,0.10539922456186433,LSTM,False
7,7,61,RMSE,0.02209287766506244,GCLSTM,True
7,7,61,MAE,0.0002454297015009894,GCLSTM,True
7,7,62,RMSE,0.028367816449713094,LSTM,True
7,7,62,MAE,0.36787944117144245,LSTM,False
7,7,63,RMSE,0.00012340980408667962,GCLSTM,True
7,7,63,MAE,0.003388052521834713,GCLSTM,True
7,7,64,RMSE,7.967935815531954e-05,GCRN,True
7,7,64,MAE,0.00010231032105679586,GCLSTM,True
7,7,65,RMSE,0.028367816449713094,LSTM,True
7,7,65,MAE,0.00010231032105679586,GCRN,True
7,7,66,RMSE,0.4723665527410149,GCRN,False
7,7,66,MAE,0.003388052521834713,LSTM,True
7,7,67,RMSE,5.771953345416447e-06,GCRN,True
7,7,67,MAE,0.2096113871510978,GCRN,False
7,7,68,RMSE,1.2878968743320383e-06,GCRN,True
7,7,68,MAE,0.1737739434504451,GCRN,False
7,7,69,RMSE,0.6456485264278919,LSTM,False
7,7,69,MAE,0.7788007830714049,LSTM,False
7,7,70,RMSE,0.0016004026902445637,GCRN,True
7,7,70,MAE,0.1737739434504451,GCRN,False
7,7,71,RMSE,1.2878968743320383e-06,GCLSTM,True
7,7,71,MAE,2.2603294069810534e-06,GCLSTM,True
7,7,72,RMSE,3.967001651986408e-06,GCRN,True
7,7,72,MAE,0.1737739434504451,GCRN,False
7,7,73,RMSE,0.1849813999073043,GCLSTM,False
7,7,73,MAE,0.1737739434504451,LSTM,False
7,7,74,RMSE,0.019496896108597995,GCRN,True
7,7,74,MAE,0.008651695203120634,GCRN,True
7,7,75,RMSE,3.500866670425978e-06,GCLSTM,True
7,7,75,MAE,2.2603294069810534e-06,GCRN,True
7,7,76,RMSE,0.00010231032105679586,GCRN,True
7,7,76,MAE,7.967935815531954e-05,GCLSTM,True
7,7,77,RMSE,0.0019304541362277095,GCLSTM,True
7,7,77,MAE,4.78511739212901e-06,GCLSTM,True
7,7,78,RMSE,6.475952175842203e-07,GCLSTM,True
7,7,78,MAE,0.1737739434504451,GCLSTM,False
7,7,79,RMSE,3.763786373644495e-05,GCLSTM,True
7,7,79,MAE,0.569782824730923,GCRN,False
7,7,80,RMSE,2.873686358243695e-07,GCLSTM,True
7,7,80,MAE,2.144540831658915e-05,GCLSTM,True
7,7,81,RMSE,0.018315638888734182,GCRN,True
7,7,81,MAE,0.1737739434504451,GCRN,False
7,7,82,RMSE,7.811489408304494e-07,GCRN,True
7,7,82,MAE,0.08737902619542039,GCRN,False
7,7,83,RMSE,0.10539922456186433,GCRN,False
7,7,83,MAE,0.4437473100810798,GCRN,False
7,7,84,RMSE,6.144212353328207e-06,GCRN,True
7,7,84,MAE,0.9394130628134758,GCRN,False
7,7,85,RMSE,3.500866670425978e-06,GCLSTM,True
7,7,85,MAE,0.4723665527410149,GCRN,False
7,7,86,RMSE,0.2096113871510978,GCLSTM,False
7,7,86,MAE,0.009209681603968142,GCRN,True
7,7,87,RMSE,0.00010231032105679586,GCRN,True
7,7,87,MAE,0.00010231032105679586,GCLSTM,True
7,7,88,RMSE,5.771953345416447e-06,GCRN,True
7,7,88,MAE,5.771953345416447e-06,GCLSTM,True
7,7,89,RMSE,0.00016868120253849854,GCRN,True
7,7,89,MAE,0.6456485264278919,GCRN,False
7,7,90,RMSE,6.144212353328207e-06,GCRN,True
7,7,90,MAE,0.00010231032105679586,GCRN,True
7,7,91,RMSE,5.771953345416447e-06,GCRN,True
7,7,91,MAE,0.2691463487291838,LSTM,False
7,7,92,RMSE,1.873878895066732e-06,GCRN,True
7,7,92,MAE,0.1440636591014533,GCRN,False
7,7,93,RMSE,0.028367816449713094,GCLSTM,True
7,7,93,MAE,1.777886794572054e-05,GCLSTM,True
