,GCRN,GCLSTM,LSTM
GCRN,1.0,0.007482145774028837,0.7592873587706612
GCLSTM,0.007482145774028837,1.0,0.056055893477214735
LSTM,0.7592873587706612,0.056055893477214735,1.0
