,GCRN,GCLSTM,LSTM
GCRN,1.0,0.08554257165495793,0.02183714820904159
GCLSTM,0.08554257165495793,1.0,5.422292801315898e-06
LSTM,0.02183714820904159,5.422292801315898e-06,1.0
