,GCRN,GCLSTM,LSTM
GCRN,1.0,0.5385951554164297,0.000601625332457556
GCLSTM,0.5385951554164297,1.0,0.02183714820904159
LSTM,0.000601625332457556,0.02183714820904159,1.0
