Identificador,tipo_grafo,RMSE,MAE,R2
GCRN_k1_h256_lags11_out2_alpha0.01,grafo_original,583.0878900404391,7.120973885094935,0.0365842758665287
GCLSTM_k1_h256_lags11_out2_alpha0.01,grafo_original,585.2431834709691,7.226864998878185,0.0294491797243726
LSTM_k1_h256_lags11_out2_alpha0.01,grafo_original,602.2652618239744,16.20067791873806,-0.0278315005544209
GCRN_k1_h256_lags8_out5_alpha0.01,grafo_original,586.206887758231,7.300437933860161,0.0118406425084493
GCLSTM_k1_h256_lags8_out5_alpha0.01,grafo_original,587.5463968181987,7.538255064215821,0.0073195043793442
LSTM_k1_h256_lags8_out5_alpha0.01,grafo_original,597.8095426272633,16.88324371621362,-0.0276633212060623
GCRN_k1_h256_lags5_out11_alpha0.01,grafo_original,590.8519750665184,8.34836894132774,0.0037734178862569
GCLSTM_k1_h256_lags5_out11_alpha0.01,grafo_original,591.4019174947064,8.414263396804163,0.0019180683334224
LSTM_k1_h256_lags5_out11_alpha0.01,grafo_original,590.0193804515914,7.818507951403258,0.0065790873755568
GCRN_k1_h256_lags6_out12_alpha0.01,grafo_original,591.1193450326329,8.327929004105508,0.0034119914563372
GCLSTM_k1_h256_lags6_out12_alpha0.01,grafo_original,591.5360331713089,8.442012502395297,0.0020064681892333
LSTM_k1_h256_lags6_out12_alpha0.01,grafo_original,590.350893684472,7.769069804857989,0.0060014443357875
GCRN_k1_h256_lags13_out13_alpha0.01,grafo_original,593.1291910723318,7.991356828215986,0.0026787874618708
GCLSTM_k1_h256_lags13_out13_alpha0.01,grafo_original,593.4556803347066,8.003069283085699,0.0015805465558538
LSTM_k1_h256_lags13_out13_alpha0.01,grafo_original,597.1396414627786,13.132943166709648,-0.0108913220930811
GCRN_k1_h256_lags9_out3_alpha0.01,grafo_original,584.0495209587768,7.080546127383147,0.024264693648022
GCLSTM_k1_h256_lags9_out3_alpha0.01,grafo_original,585.4745570898424,7.279636681478405,0.0194977605023009
LSTM_k1_h256_lags9_out3_alpha0.01,grafo_original,598.544247535175,15.854769781612235,-0.0247669715705459
GCRN_k1_h256_lags8_out9_alpha0.01,grafo_original,590.0086817628113,7.842539470829005,0.0051877199319243
GCLSTM_k1_h256_lags8_out9_alpha0.01,grafo_original,590.431098120759,8.001621080730033,0.0037627931715211
LSTM_k1_h256_lags8_out9_alpha0.01,grafo_original,599.1856666301722,17.343971361977143,-0.026000290389342
GCRN_k1_h256_lags9_out6_alpha0.01,grafo_original,587.5275691532705,7.36066225726744,0.0089670640989086
GCLSTM_k1_h256_lags9_out6_alpha0.01,grafo_original,588.3013155735895,7.526900318564631,0.0063550881998754
LSTM_k1_h256_lags9_out6_alpha0.01,grafo_original,599.7397158280147,17.998380487377354,-0.0326608469692938
GCRN_k1_h256_lags6_out4_alpha0.01,grafo_original,585.2241929825715,7.486152263172981,0.0140871260237476
GCLSTM_k1_h256_lags6_out4_alpha0.01,grafo_original,586.3514987418148,7.662242045887543,0.0102851128338705
LSTM_k1_h256_lags6_out4_alpha0.01,grafo_original,596.2453636213031,14.43787961060658,-0.0233966367226779
GCRN_k1_h256_lags1_out2_alpha0.01,grafo_original,583.6600912268565,9.55090476926399,0.0258626336197729
GCLSTM_k1_h256_lags1_out2_alpha0.01,grafo_original,584.1423837428339,9.489952929057068,0.0242517092374605
LSTM_k1_h256_lags1_out2_alpha0.01,grafo_original,587.3950367090139,9.14649411730306,0.0133558427300402
GCRN_k1_h256_lags10_out10_alpha0.01,grafo_original,590.3589211362282,7.806895789382532,0.004791284072319
GCLSTM_k1_h256_lags10_out10_alpha0.01,grafo_original,590.8426993837486,7.962353817683818,0.0031595316755791
LSTM_k1_h256_lags10_out10_alpha0.01,grafo_original,599.3038963849455,17.5513998684634,-0.0255958602333448
GCRN_k1_h256_lags11_out14_alpha0.01,grafo_original,592.4689115845733,8.163000531529086,0.0026347974230179
GCLSTM_k1_h256_lags11_out14_alpha0.01,grafo_original,592.732496326875,8.244401143262,0.0017471428171007
LSTM_k1_h256_lags11_out14_alpha0.01,grafo_original,591.9355857778899,7.495339689226695,0.0044295944137554
GCRN_k1_h256_lags5_out12_alpha0.01,grafo_original,591.00362483792,8.38390496470693,0.0038021169063437
GCLSTM_k1_h256_lags5_out12_alpha0.01,grafo_original,591.607686851063,8.544308894515854,0.001764673899542
LSTM_k1_h256_lags5_out12_alpha0.01,grafo_original,590.2075224375354,7.929988058731412,0.0064841787349579
GCRN_k1_h256_lags10_out5_alpha0.01,grafo_original,586.4301074452479,7.179755650628374,0.0110880702537223
