City_name;Prophet RMSE;Prophet R2
Shijiazhuang;37.70193222540235;-1.2380649754558815
Tangshan;0.0406086005015827;0.0
Qinhuangdao;0.05925181215736864;0.0
Handan;0.04276424397443931;0.0
Xingtai;4.153397690811929;-19.3465479821933
Baoding;1.2184283447202404;-0.9520297008094709
Zhangjiakou;0.04198074922522247;0.0
Chengde;0.04427721831971588;0.0
Cangzhou;0.05373127607654272;0.0
Langfang;0.31058959302205913;0.0
Hengshui;0.03755713772564951;0.0
Taiyuan;0.01908252298748348;0.0
Datong;0.025376019321553003;0.0
Yangquan;0.014580525035392292;0.0
Changzhi;0.01395254390395477;0.0
Jincheng;0.04520457024704836;0.0
Shuozhou;0.012306758037545884;0.0
Jinzhong;0.27461205967563246;0.0
Yuncheng;0.11253003269977882;0.0
Xinzhou;0.0286620263125217;0.0
Linfen;0.009737577835640526;0.0
Baotou;0.017889168336896355;0.0
Wuhai;0.02025473710076204;0.0
Chifeng;0.00824861039364855;0.0
Tongliao;0.44794683248446404;-0.06323272581398665
Shenyang;2.570192689030145;-7.640243961203264
Dalian;118.61748675592776;-0.17831752660956468
Anshan;0.010431917072289009;0.0
Fushun;0.003426714732050302;0.0
Benxi;0.01481850504784335;0.0
Dandong;0.01833209163784971;0.0
Jinzhou;0.02010144046334392;0.0
Yingkou;6.366413639716542;0.0
Fuxin;0.04671973291148154;0.0
Liaoyang;0.010387306016059661;0.0
Panjin;0.03256619119689592;0.0
Tieling;0.017205199630804285;0.0
Chaoyang;0.03802062143518486;0.0
Huludao;0.012542270545387367;0.0
Changchun;1.9562145968030034;0.0
Jilin;1.0195743757304743;-1.2942866181076629
Siping;0.02288909779047018;0.0
Liaoyuan;0.025173140456853114;0.0
Tonghua;9.433136842846762;0.0
Songyuan;1.3864900439460826;0.0
Baicheng;0.009741624578270366;0.0
Jixi;0.1427040797616515;0.0
Hegang;0.0094610485376333;0.0
Shuangyashan;0.09682011398475417;0.0
Daqing;0.020390722848411924;0.0
Jiamusi;0.04093048462638088;0.0
Qitaihe;0.013199971921764822;0.0
Mudanjiang;0.09446294226499037;0.0
Heihe;128.200555915272;-0.3359470301919403
Suihua;149.8205604458807;-89824.4647356703
Nanjing;226.28319592276713;-18.99175044289385
Wuxi;0.045087920381419434;0.0
Xuzhou;0.03321343639709739;0.0
Changzhou;1.4442250645792356;-0.2927893816172853
Nantong;0.07127187600025231;0.0
Lianyungang;0.02531632246479785;0.0
Huainan;11.295364797940733;-10.010073146890234
Yancheng;0.034608737297546904;0.0
Yangzhou;522.3009021524604;-7.00956350913976
Zhenjiang;0.07903346578675412;0.0
Suqian;2.9228237043012872;-16.60014126612905
Hangzhou;0.34951532275297353;0.0
Ningbo;0.7222234770676088;0.0
Wenzhou;2.4378414869266694;0.0
Jiaxing;0.05255549375974939;0.0
Huzhou;0.02139664123903738;0.0
Shaoxing;0.08736905676893678;0.0
Jinhua;0.20800804722599897;0.0
Quzhou;0.0551357731518549;0.0
Zhoushan;0.012895670150901383;0.0
Lishui;0.0639796590311701;0.0
Hefei;0.44250103179237893;0.0
Wuhu;0.03965392332416947;0.0
Bengbu;0.16653906352646308;0.0
Huaibei;0.48296392728943555;0.0
Tongling;0.03386587681963032;0.0
Anqing;0.49392902261841526;0.0
Huangshan;0.05931889065771511;0.0
Chuzhou;0.04093960744954563;0.0
Fuyang;0.5338116396690256;0.0
Bozhou;0.11902656530174627;0.0
Chizhou;0.018263851208403313;0.0
Xuancheng;0.025099477261711373;0.0
Xiamen;177.0020377726532;-1.4053324069452118
Putian;155.09800728974452;-1.459098856864915
Sanming;0.04330664963890772;0.0
Quanzhou;18.27196617120461;-1.4956310623968494
Zhangzhou;2.2560979687293607;-1.3220250918494472
Nanping;0.03991582236833831;0.0
Longyan;0.051543894225761895;0.0
Ningde;0.016316074923139363;0.0
Nanchang;0.12427728504701645;0.0
Jingdezhen;0.0068697157303427665;0.0
Pingxiang;0.01679467765933973;0.0
Jiujiang;0.6695969001578199;-1.3581601410010093
Xinyu;0.10782772367700622;0.0
Yingtan;0.013710512197491904;0.0
Ganzhou;0.0904958225677562;0.0
Shangrao;9.377859443996538;-0.3634028150043511
Jinan;0.04610848429689954;0.0
Qingdao;0.3345043306287162;0.0
Zibo;0.0248521869610325;0.0
Zaozhuang;0.04632328173656131;0.0
Yantai;10.404585202877373;-8.835597628565337
Weifang;0.04534026797766116;0.0
Jining;0.732851296697223;0.0
Weihai;0.09188372767798206;0.0
Rizhao;7.128118789686757;-0.3989131012014977
Linyi;0.05065567964399259;0.0
Dezhou;0.030025757410353918;0.0
Liaocheng;0.2351509472813177;0.0
Binzhou;0.023847137347227505;0.0
Heze;0.02266064438103854;0.0
Zhengzhou;139.77394943382592;-5.434171464128509
Kaifeng;6.523849899461368;-6.72342579804181
Luoyang;0.11991468711069218;0.0
Pingdingshan;0.24636478681265436;0.0
Anyang;0.9045507038118856;-4.609266306970802
Hebi;0.03012641303823056;0.0
Xinxiang;0.05964314521915639;0.0
Jiaozuo;0.04196910457544325;0.0
Puyang;0.024060210563290663;0.0
Xuchang;0.8974256006705756;-6.231985014651731
Luohe;0.02990100366361265;0.0
Sanmenxia;0.03295759008643754;0.0
Nanyang;0.1600326621169058;0.0
Shangqiu;9.147742443760485;-5.688103616165923
Xinyang;0.13104716664015442;0.0
Zhoukou;7.586312889560924;-0.2522974885174001
Zhumadian;3.6736659010726775;-5.640689544028086
Wuhan;38.20931794908595;-7.702629343934744
Huangshi;0.5242620071893659;0.0
Shiyan;0.25912372668975076;0.0
Yichang;0.5580984112035077;0.0
Ezhou;1.3633075378964181;-12.614950100221275
Jingmen;38.70874093697143;-5.464772861855771
Xiaogan;1.1294407501079902;0.0
Jingzhou;1.5015101056144329;-5.302356941250156
Huanggang;3.787815652259399;-4.137672733565944
Xianning;1.2391419101765735;0.0
Suizhou;0.3395228987033776;0.0
Changsha;3.4742059662136695;-3.8401669928014
Zhuzhou;28.021114838518887;-7.843035102858082
Xiangtan;1.9145267583106365;-11.141297909607207
Hengyang;0.1384755876851603;0.0
Shaoyang;0.31956116133877077;0.0
Yueyang;0.08767944484096729;0.0
Changde;0.04972840148409235;0.0
Zhangjiajie;66.21202565213903;-7.247828765077703
