,GCLSTM,GCRN,LSTM
Maximum,0.6323920105940224,0.6283232355913002,0.7126729292488015
Minimum,0.0726122658134121,0.0720705376825331,0.074148535390707
Mean,0.3432670593132599,0.3409230685308219,0.4120905425510943
Standard_Deviation,0.1220796806981736,0.12148957965123292,0.14193072082202965
First_Quartile,0.2785056681956338,0.2771122999639894,0.35059814965767694
Median,0.32663620754647615,0.32520683601984474,0.4126634496953644
Third_Quartile,0.41022244089023646,0.40674617203964836,0.4949998852221833
