,GCLSTM,GCRN,LSTM
Maximum,0.8217608881521687,0.8236605562734892,0.8581072968589061
Minimum,0.5479689061077619,0.5533859318944241,0.332635758849814
Mean,0.6317299448125206,0.6362846203210136,0.5622073738723934
Standard_Deviation,0.06943274872217343,0.06874952158011371,0.10778518269683587
First_Quartile,0.5786401352159911,0.5834615117496932,0.47835353143767173
Median,0.6091094727543773,0.6144161155297121,0.5615154289515587
Third_Quartile,0.66853810849326,0.6711339033497452,0.6212404127509512
