,GCRN,GCLSTM,LSTM
GCRN,1.0,0.24949299075360054,0.00417611280175556
GCLSTM,0.24949299075360054,1.0,0.24949299075360054
LSTM,0.00417611280175556,0.24949299075360054,1.0
