,GCRN,GCLSTM,LSTM
GCRN,1.0,0.43104497261319785,0.00014156876239102
GCLSTM,0.43104497261319785,1.0,0.012987661373194292
LSTM,0.00014156876239102,0.012987661373194292,1.0
