,GCRN,GCLSTM,LSTM
GCRN,1.0,0.43104497261319785,0.007482145774028837
GCLSTM,0.43104497261319785,1.0,0.18050893720669348
LSTM,0.007482145774028837,0.18050893720669348,1.0
