,GCRN,GCLSTM,LSTM
GCRN,1.0,0.012987661373194292,0.0011839912309870027
GCLSTM,0.012987661373194292,1.0,0.7592873587706612
LSTM,0.0011839912309870027,0.7592873587706612,1.0
