param_config,K,hidden_channel,model,lag,out,num_reps_found_for_config,node_id,RMSE,MAE
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,55,0.0014815833403919718,0.0012095302934374105
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,56,0.0018635981796329957,0.0017334379902204063
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,57,0.0005910621856469857,0.0004923378263306138
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,58,0.0007247127517376119,0.0005494762200733609
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,59,0.0018452294453019367,0.0014860971215646887
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,60,0.5199453463445477,0.15440511258536394
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,61,0.4286445317329386,0.32081343776642673
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,62,0.0034357026857801455,0.0031985490972609096
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,63,0.11013219341423615,0.09582426146703432
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,64,0.004955926704139946,0.004257073549056017
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,65,0.0006974126543567199,0.0005698503876701502
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,66,0.003727196359265989,0.00346687598044081
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,67,0.001891347376362098,0.0016823039280679988
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,68,0.10277179655668839,0.02141518811993
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,69,0.0010310492069252443,0.0008572123737876225
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,70,0.0033291474031841134,0.0028703655486145992
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,71,0.0013925414753858392,0.0012389893336763687
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,72,0.14114002621649108,0.040675306624488365
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,73,0.0012846832813439783,0.0009782602348407607
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,74,0.0016084690985714173,0.0015272125405242384
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,75,0.0014132629420864672,0.0012662373917992453
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,76,0.0006687380676932289,0.000589189318447417
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,77,0.20466032758749345,0.08505476510173592
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,78,0.0020725539254074577,0.001692219797871922
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,79,0.26244892254128643,0.24852455255688502
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,80,0.002866630291049073,0.002472980358932427
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,81,0.002097670256845891,0.0018981811880643443
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,82,0.10714852358375765,0.02566010781273798
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,83,0.0012228123082394812,0.0009229064131003416
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,84,0.003525912106993905,0.0030441256636302406
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,85,0.0014982116304344667,0.0012051947870059285
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,86,1.6359998401299856,0.5538145300748218
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,87,0.001483600825601243,0.0013911068355755482
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,88,0.0010554547805829808,0.0008068761162223026
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,89,0.0027931063232629217,0.002643254772249661
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,90,0.0030304003410779948,0.002832208793991055
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,91,0.001661133565871461,0.0015703124230361935
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,92,0.0018886294226694116,0.0015410334104187498
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,93,0.026230858247025337,0.02490106658690732
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,94,0.0007732869051939247,0.0006429092803407091
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,95,0.0014351449070500195,0.0013120906192884488
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,96,0.008204430144564321,0.007131403101794986
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,97,0.002337727235744303,0.0020177889072181244
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,98,0.0009170045131179596,0.0007342834161579462
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,99,0.09791705790619955,0.018821973223962032
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,100,0.0004525102769970166,0.0003383300386455826
